speed_mps,speed_knots,froude,reynolds,resistance_total_N,resistance_total_kN,resistance_friction_N,residual_resistance_N,cf_coefficient,effective_power_kW
1.0288,2.0000,0.0268,129768741.7208,6615.0356,6.6150,6615.0356,0.0000,0.0020,6.8056
1.3981,2.7179,0.0364,176352392.5949,11701.2075,11.7012,11701.2075,0.0000,0.0019,16.3597
1.7674,3.4359,0.0461,222936043.4690,18104.5207,18.1045,18104.5207,0.0000,0.0019,31.9986
2.1368,4.1538,0.0557,269519694.3431,25787.2042,25.7872,25787.2042,0.0000,0.0018,55.1009
2.5061,4.8718,0.0653,316103345.2172,34719.9641,34.7200,34719.9641,0.0000,0.0018,87.0106
2.8754,5.5897,0.0750,362686996.0913,44879.0049,44.8790,44879.0049,0.0000,0.0017,129.0443
3.2447,6.3077,0.0846,409270646.9655,56244.3720,56.2444,56244.3720,0.0000,0.0017,182.4960
3.6140,7.0256,0.0942,455854297.8396,68798.9365,68.7989,68798.9365,0.0000,0.0017,248.6402
3.9833,7.7436,0.1038,502437948.7137,82527.7310,82.5277,82527.7310,0.0000,0.0017,328.7350
4.3526,8.4615,0.1135,549021599.5878,97417.4906,97.4175,97417.4906,0.0000,0.0017,424.0236
4.7220,9.1795,0.1231,595605250.4619,113456.3250,113.4563,113456.3250,0.0000,0.0016,535.7360
5.0913,9.8974,0.1327,642188901.3360,130633.4744,130.6335,130633.4744,0.0000,0.0016,665.0908
5.4606,10.6154,0.1424,688772552.2102,148939.1245,148.9391,148939.1245,0.0000,0.0016,813.2953
5.8299,11.3333,0.1520,735356203.0843,168364.2628,168.3643,168364.2628,0.0000,0.0016,981.5475
6.1992,12.0513,0.1616,781939853.9584,188900.5643,188.9006,188900.5643,0.0000,0.0016,1171.0360
6.5685,12.7692,0.1712,828523504.8325,210540.3000,210.5403,210540.3000,0.0000,0.0016,1382.9412
6.9378,13.4872,0.1809,875107155.7066,233276.2620,233.2763,233276.2620,0.0000,0.0016,1618.4356
7.3072,14.2051,0.1905,921690806.5807,257101.7016,257.1017,257101.7016,0.0000,0.0015,1878.6845
7.6765,14.9231,0.2001,968274457.4549,282010.2776,282.0103,282010.2776,0.0000,0.0015,2164.8462
8.0458,15.6410,0.2097,1014858108.3290,307996.0125,307.9960,307996.0125,0.0000,0.0015,2478.0728
8.4151,16.3590,0.2194,1061441759.2031,335053.2558,335.0533,335053.2558,0.0000,0.0015,2819.5101
8.7844,17.0769,0.2290,1108025410.0772,363176.6520,363.1767,363176.6520,0.0000,0.0015,3190.2982
9.1537,17.7949,0.2386,1154609060.9513,392361.1131,392.3611,392361.1131,0.0000,0.0015,3591.5719
9.5231,18.5128,0.2483,1201192711.8254,422601.7946,422.6018,422601.7946,0.0000,0.0015,4024.4605
9.8924,19.2308,0.2579,1247776362.6996,453894.0750,453.8941,453894.0750,0.0000,0.0015,4490.0886
10.2617,19.9487,0.2675,1294360013.5737,486233.5368,486.2335,486233.5368,0.0000,0.0015,4989.5760
10.6310,20.6667,0.2771,1340943664.4478,519615.9509,519.6160,519615.9509,0.0000,0.0015,5524.0379
11.0003,21.3846,0.2868,1387527315.3219,554037.2619,554.0373,554037.2619,0.0000,0.0015,6094.5853
11.3696,22.1026,0.2964,1434110966.1960,589493.5750,589.4936,589493.5750,0.0000,0.0015,6702.3249
11.7389,22.8205,0.3060,1480694617.0701,625981.1451,625.9811,625981.1451,0.0000,0.0015,7348.3594
12.1083,23.5385,0.3156,1527278267.9443,663496.3658,663.4964,663496.3658,0.0000,0.0015,8033.7879
12.4776,24.2564,0.3253,1573861918.8184,702035.7605,702.0358,702035.7605,0.0000,0.0014,8759.7055
12.8469,24.9744,0.3349,1620445569.6925,741595.9738,741.5960,741595.9738,0.0000,0.0014,9527.2037
13.2162,25.6923,0.3445,1667029220.5666,782173.7639,782.1738,782173.7639,0.0000,0.0014,10337.3709
13.5855,26.4103,0.3542,1713612871.4407,823765.9956,823.7660,823765.9956,0.0000,0.0014,11191.2918
13.9548,27.1282,0.3638,1760196522.3148,866369.6339,866.3696,866369.6339,0.0000,0.0014,12090.0479
14.3242,27.8462,0.3734,1806780173.1890,909981.7383,909.9817,909981.7383,0.0000,0.0014,13034.7178
14.6935,28.5641,0.3830,1853363824.0631,954599.4572,954.5995,954599.4572,0.0000,0.0014,14026.3770
15.0628,29.2821,0.3927,1899947474.9372,1000220.0232,1000.2200,1000220.0232,0.0000,0.0014,15066.0977
15.4321,30.0000,0.4023,1946531125.8113,1046840.7488,1046.8407,1046840.7488,0.0000,0.0014,16154.9498
